Player Name,Team-name,Age,Position,App,MinP,Goals,Assist,YC,RC,SPG,PS%,AW,MOTM,Rating
Juan Cruz,Real Betis,22,MIDFIELDER,1(4),171,1,0,0,0,1.0,73.3,0.2,0,6.36
José Carlos Lazo,Espanyol,27,MIDFIELDER,0(10),149,1,1,0,0,0.4,79.3,,1,6.35
Helibelton Palacios,Elche,29,D(CR),18(1),1530,0,0,6,0,0.2,77.7,0.9,0,6.35
Hugo Sotelo,Celta Vigo,19,MIDFIELDER,0(1),17,0,0,0,0,1.0,87,,0,6.35
Gabriel Paulista,Valencia,32,D(CR),11(3),878,1,0,2,1,0.8,85.7,2.1,0,6.35
Largie Ramazani,Almeria,22,FW,12(11),1185,3,0,4,0,1.4,71.9,0.1,0,6.35
Darko Brasanac,Osasuna,31,M(CR),8(15),954,1,1,4,0,0.3,81.5,0.6,0,6.35
José Ángel Carmona,Sevilla,21,D(CR) M(R),5(5),529,2,1,4,1,0.5,84.4,0.3,1,6.35
Rober,Real Betis,22,MIDFIELDER,0(2),52,0,0,1,0,,95.8,,0,6.35
Tanguy Nianzou,Sevilla,20,D(C),15(2),1235,1,0,1,1,0.4,88.2,1.6,0,6.34
Kike Salas,Sevilla,20,D(C),4(2),370,1,1,1,1,0.5,84.3,1.5,1,6.34
Iddrisu Baba,Mallorca,27,DMC,13(5),1089,0,0,4,0,0.4,83,1.0,0,6.34
Adnan Januzaj,Sevilla,28,AM(CLR),1(1),47,0,0,0,0,,68.2,,0,6.34
Cristhian Stuani,Girona,36,AM(CLR) FW,5(15),696,6,0,6,0,1.2,76,0.4,0,6.34
Andrés Martín,Rayo Vallecano,23,FORWARD,2(3),145,0,0,1,0,0.6,52.5,0.4,0,6.33
Juan Carlos Martín,Girona,35,GK,10,900,0,0,0,0,,82.4,0.1,0,6.33
Valery Fernández,Girona,23,D(R) M(L),5(13),661,0,2,1,0,0.2,88.8,0.3,0,6.32
Johan Mojica,Villarreal,30,D(L) M(L),5(8),562,0,0,0,0,0.1,89.2,0.5,0,6.32
Jesús Vázquez,Valencia,20,D(L),3(5),272,0,0,1,0,0.8,85.3,0.3,0,6.32
Carles Aleñá,Getafe,25,AM(CLR),20(3),1584,2,2,8,1,1.0,79.4,0.5,1,6.31
Tete Morente,Elche,26,M(CLR),10(9),990,1,0,4,0,0.9,81.4,0.7,0,6.31
Zouhair Feddal,Real Valladolid,33,D(C),4(4),374,0,0,1,0,0.1,79.9,0.9,0,6.31
Abdul Mumin,Rayo Vallecano,24,D(C),3(2),282,0,0,1,0,0.6,78,0.8,0,6.31
Pedro Bigas,Elche,32,D(CL),17(2),1418,0,0,2,2,0.7,80.1,1.1,0,6.3
Amath Ndiaye,Mallorca,26,AM(L),3(14),558,1,0,2,0,0.7,76.6,0.2,0,6.3
Kaiky,Almeria,19,D(C),6(3),487,0,0,5,0,0.1,81.3,0.6,0,6.3
Sergio León,Real Valladolid,34,FW,12(9),1017,5,1,0,1,1.0,69.4,0.7,1,6.3
Juan Cala,Cadiz,33,D(C),1(2),137,0,0,0,0,0.3,78.9,1.0,0,6.3
Diego Moreno,Osasuna,21,D(R),6(1),532,0,0,0,0,0.7,69.9,0.6,0,6.29
Papu Gómez,Sevilla,35,M(CLR) FW,6(7),666,0,1,4,0,1.2,91.5,0.2,0,6.29
Íñigo Eguaras,Almeria,31,M(C),9(9),797,1,1,4,0,0.3,85.3,0.2,0,6.29
Dimitri Foulquier,Valencia,29,D(CLR) M(R),10(9),1019,0,1,3,0,0.1,71.1,0.6,0,6.29
Renato Tapia,Celta Vigo,27,D(C) DMC,9(8),793,0,0,3,1,0.3,87.5,0.8,0,6.29
Carlos Fernández,Real Sociedad,26,AM(C) FW,6(9),406,1,0,5,0,0.9,64.1,1.2,0,6.29
Roger,Cadiz,32,FW,6(1),444,0,0,1,0,0.9,71.8,1.1,0,6.29
Rafa Mir,Sevilla,25,FW,10(6),815,3,0,1,0,2.1,75,0.8,1,6.29
Gonzalo Verdú,Elche,34,D(C),7(4),546,1,0,0,2,0.5,79.9,1.6,0,6.28
Álvaro Odriozola,Real Madrid,27,D(R),0(1),22,0,0,0,0,1.0,100,,0,6.28
Kike García,Osasuna,33,FW,5(20),737,2,0,3,0,1.3,73.5,1.3,0,6.28
Ezequiel Ponce,Elche,25,AM(L) FW,8(16),986,3,0,2,0,1.1,76,1.3,0,6.28
Franck Kessie,Barcelona,26,M(C),4(13),582,0,1,4,0,0.5,86.3,0.2,0,6.27
Lucas Pérez,Cadiz,34,AM(CR) FW,5(9),623,3,0,2,0,1.2,83.3,0.1,0,6.27
Reinier,Girona,21,AM(C),3(6),342,1,0,1,0,0.4,78.7,0.2,0,6.27
Anthony Lozano,Cadiz,29,AM(L) FW,12(9),1191,0,0,3,0,1.1,67.4,2.3,0,6.27
Keidi Bare,Espanyol,25,DMC,3(8),328,0,0,0,0,0.4,84.8,0.4,0,6.27
Ander Herrera,Athletic Bilbao,33,M(C),4(4),308,0,1,3,1,0.5,87.6,0.3,0,6.27
Oscar Ureña,Girona,19,FORWARD,1(2),99,0,0,0,0,0.3,83.3,,0,6.26
Clément Grenier,Mallorca,32,M(CL),6(9),608,0,0,7,0,0.2,79.2,0.2,0,6.26
Raúl de Tomás,Rayo Vallecano,28,FW,2(5),222,0,0,1,0,2.3,73.2,0.9,0,6.26
Randy Nteka,Elche,25,AM(C) FW,3(2),205,0,0,1,0,0.6,62.7,1.6,0,6.26
Paul Akouokou,Real Betis,25,DMC,2(5),280,0,0,2,0,0.3,93.8,0.3,0,6.26
Francisco Portillo,Almeria,32,M(CLR),2(14),387,2,0,1,0,0.3,80.5,0.2,0,6.25
Alexander Callens,Girona,30,D(CL),0(2),52,0,0,0,0,,86.7,,0,6.25
Ángel Algobia,Getafe,23,M(C),11(7),984,0,0,3,0,0.3,82.1,0.3,0,6.25
José Mari,Cadiz,35,DMC,2(11),317,0,0,2,0,0.2,82.6,0.3,0,6.25
Lázaro,Almeria,21,FW,2(8),262,1,0,0,0,0.4,79.8,,0,6.25
Ronaël Pierre-Gabriel,Espanyol,24,D(CLR) M(R),1(4),164,0,0,0,1,0.2,80,0.6,0,6.25
Arnaut Danjuma,Villarreal,26,AM(L) FW,6(4),480,2,0,0,0,1.2,74.7,,0,6.24
Bernardo Espinosa,Girona,33,D(C),10(4),846,0,1,3,0,0.4,88.5,2.6,0,6.24
Portu,Getafe,30,M(CLR) FW,10(12),1061,0,2,3,1,0.5,73.8,0.4,0,6.24
Augusto Solari,Celta Vigo,31,AM(CR),2(8),211,0,1,0,0,0.2,79.2,0.4,0,6.23
Mikel Balenziaga,Athletic Bilbao,35,D(L),1(1),115,0,0,0,0,0.5,73.1,,0,6.23
Lisandro Magallán,Elche,29,D(C),5(2),404,0,0,0,1,0.1,73.1,1.0,0,6.23
Cristhian Mosquera,Valencia,18,DEFENDER,1(2),143,0,0,0,0,0.7,84.8,1.0,0,6.22
Marcos André,Valencia,26,FW,3(13),427,1,0,2,1,1.1,67.8,0.6,0,6.22
Fede San Emeterio,Cadiz,25,DMC,14(7),1091,0,0,7,0,0.2,80,0.7,0,6.22
Abner,Real Betis,22,D(L) M(L),5(2),367,0,0,2,0,0.4,76.3,0.7,0,6.22
Malcom Adu,Athletic Bilbao,21,FORWARD,0(1),4,0,0,0,0,1.0,100,,0,6.22
Nicolás Melamed,Espanyol,21,AM(L),7(12),501,0,2,3,0,0.5,78.9,0.4,0,6.22
Aleix Vidal,Espanyol,33,D(R) M(LR),10(9),882,0,1,4,0,0.2,75.7,0.1,0,6.22
Jon Magunacelaya,Real Sociedad,21,MIDFIELDER,0(2),64,0,0,0,0,0.5,50,,0,6.22
Juanpe,Girona,31,D(C),11(1),932,0,0,3,0,0.2,85.1,1.3,0,6.21
Pierre-Emerick Aubameyang,Barcelona,33,M(CLR) FW,0(1),8,0,0,0,0,1.0,100,,0,6.21
Hugo Duro,Valencia,23,AM(L) FW,8(11),895,1,0,4,0,1.2,73.8,0.9,0,6.21
Ander Martín,Real Sociedad,22,FORWARD,0(3),39,0,0,0,0,,60,0.3,0,6.21
Nicolás Fernández Mercau,Elche,23,M(L),2(9),320,0,0,2,0,0.2,76.6,0.1,0,6.21
Gonzalo Montiel,Sevilla,26,D(CR) M(R),11(5),956,0,1,5,1,0.4,81.4,0.6,0,6.21
Dyego Sousa,Almeria,33,FW,2(12),353,0,1,1,0,0.7,70.2,1.0,0,6.2
Benjamin Lecomte,Espanyol,31,GK,10,900,0,0,1,1,,63.2,,1,6.2
Oier Zarraga,Athletic Bilbao,24,DMC M(R),4(14),607,0,0,4,0,0.8,80,0.4,0,6.2
Jesús Corona,Sevilla,30,D(R) M(CLR) FW,1,63,0,0,0,0,,88.2,,0,6.2
Martin Hongla,Real Valladolid,24,D(C) DMC,5(1),489,0,0,3,1,,77.3,0.8,0,6.2
Fidel,Elche,33,M(CLR),9(6),791,1,1,4,0,0.4,73.6,0.1,0,6.2
Enzo Roco,Elche,30,D(C),18(1),1480,0,0,3,1,0.5,82,2.1,0,6.2
Gonçalo Paciência,Celta Vigo,28,FW,4(10),400,1,0,2,1,1.2,58.8,1.2,0,6.2
Franco Russo,Mallorca,28,D(C),2(1),147,0,0,0,0,,76.3,1.0,0,6.19
Juanmi Latasa,Getafe,21,FORWARD,0(11),116,0,0,0,0,0.7,55,1.5,0,6.19
José Carlos Lazo,Almeria,27,MIDFIELDER,0(1),19,0,0,0,0,2.0,75,,0,6.19
Gonzalo Villar,Getafe,24,DMC,2(5),206,0,0,2,0,0.1,82.1,0.4,0,6.19
Diego González,Elche,28,D(CL),7(7),838,0,0,5,0,0.4,81.1,1.3,0,6.19
Bebé,Rayo Vallecano,32,AM(LR) FW,0(4),57,0,0,1,0,1.0,84.2,,0,6.19
Robert Navarro,Real Sociedad,20,MIDFIELDER,1(15),333,0,0,2,0,0.8,78.2,0.4,0,6.18
Antonio Blanco,Cadiz,22,MIDFIELDER,2(1),159,0,0,0,0,,93.4,1.0,0,6.18
Aitor Paredes,Athletic Bilbao,22,DEFENDER,2(6),232,0,0,1,0,0.6,85.6,0.3,0,6.18
Raúl Parra,Cadiz,23,DEFENDER,0(2),31,0,0,0,0,,42.9,,0,6.18
Jon Morcillo,Athletic Bilbao,24,AM(L),0(10),59,0,1,0,0,0.1,81.1,0.1,0,6.17
Iván Alejo,Cadiz,28,AM(R),8(12),824,0,1,7,1,0.7,68.9,0.7,0,6.17
Manu Morlanes,Villarreal,24,DMC,3(2),159,0,0,0,1,,80,0.2,0,6.16
Ricard Artero,Girona,20,MIDFIELDER,0(1),7,0,0,0,0,,71.4,,0,6.16
Rodrigo Battaglia,Mallorca,31,M(C),8(7),686,0,0,5,0,0.1,80.8,0.7,0,6.16
Raúl Guti,Elche,26,DMC,10(9),852,0,0,1,0,0.7,82.6,0.3,0,6.16
Abdón Prats,Mallorca,30,FW,1(17),251,1,1,0,0,0.3,71.6,0.3,0,6.16
Ander Capa,Athletic Bilbao,31,D(R) M(R),0(4),25,0,0,0,0,,85,,0,6.16
Sergio Asenjo,Real Valladolid,33,GK,8,720,0,0,0,0,,60.7,,1,6.16
Eden Hazard,Real Madrid,32,M(CLR) FW,1(2),98,0,0,0,0,0.7,89.9,,0,6.15
Willian José,Real Betis,31,FW,2(17),376,1,0,0,0,0.7,81.5,0.5,0,6.15
Toni Villa,Real Valladolid,28,AM(CLR),1(1),91,0,0,0,0,,74.1,,0,6.15
Sergio Arribas,Real Madrid,21,MIDFIELDER,0(1),9,0,0,0,0,1.0,100,,0,6.14
Salvi Sánchez,Rayo Vallecano,31,AM(R),3(11),296,0,0,2,0,0.1,61.1,0.1,0,6.14
Radamel Falcao,Rayo Vallecano,37,FW,3(17),497,2,0,4,0,1.0,75.6,0.9,0,6.14
Antonio Sánchez,Mallorca,25,AM(CR),7(13),647,0,0,4,0,0.5,77.5,0.3,0,6.13
Manu Morlanes,Mallorca,24,DMC,0(2),27,0,0,0,0,,94.7,,0,6.13
Jaime Seoane,Getafe,26,M(C),2(12),300,0,0,0,0,0.1,79.8,0.1,0,6.13
Omar El Hilali,Espanyol,19,DEFENDER,1(4),90,0,0,1,0,,57.7,0.4,0,6.13
Simo,Espanyol,18,DEFENDER,0(5),85,0,0,0,0,,87.5,,0,6.12
David Torres,Real Valladolid,20,DEFENDER,1(1),100,0,0,0,0,,76.1,1.0,0,6.12
Pep Chavarría,Rayo Vallecano,24,DEFENDER,0(8),96,0,0,1,0,,72.2,0.5,0,6.11
Beñat Turrientes,Real Sociedad,21,MIDFIELDER,1(5),102,0,0,0,0,,90.7,,0,6.11
Roger,Elche,32,FW,8(4),657,0,1,2,0,0.5,75.7,0.5,0,6.11
Joel Roca,Girona,17,MIDFIELDER,0(4),65,0,0,1,0,0.5,67.9,,0,6.11
Álex Centelles,Almeria,23,D(L),1(3),134,0,0,0,1,0.3,71.7,,0,6.11
Curro Sánchez,Almeria,27,MIDFIELDER,0(2),41,0,0,1,0,0.5,76.9,,0,6.11
Arnau Puigmal,Almeria,22,MIDFIELDER,2(11),377,0,0,3,0,0.8,76.7,0.1,0,6.1
Josan,Elche,33,D(R) M(R),3(12),433,1,0,3,0,0.2,81.7,0.2,0,6.1
Carlos Domínguez,Celta Vigo,22,D(C),0(2),17,0,0,0,0,,91.7,0.5,0,6.1
Carlos Martín,Atletico,20,FORWARD,0(1),4,0,0,0,0,,100,,0,6.1
Moi Parra,Getafe,20,MIDFIELDER,0(1),9,0,0,0,0,,100,,0,6.1
Ángel Rodríguez,Mallorca,35,FW,1(10),257,0,0,0,0,0.8,75,0.7,0,6.1
Santiago Arzamendia,Cadiz,24,D(L) M(L),4(5),386,0,0,0,0,0.4,67.9,0.6,0,6.1
Pablo Durán,Celta Vigo,21,FORWARD,0(4),32,0,0,0,0,,70,0.3,0,6.09
Iker Muñoz,Osasuna,20,MIDFIELDER,0(1),20,0,0,0,0,,100,1.0,0,6.09
Nabili Zoubdi Touaizi,Espanyol,22,FORWARD,0(1),2,0,0,0,0,,100,,0,6.09
José Ángel Pozo,Rayo Vallecano,27,AM(C),1(6),79,0,0,0,0,0.1,81.6,0.3,0,6.09
Manu Trigueros,Villarreal,31,M(CLR) FW,5(9),462,0,0,2,1,0.4,89,0.2,0,6.08
Lago Junior,Mallorca,32,M(L),0(5),48,0,0,0,0,0.4,75,0.8,0,6.08
Jorge Meré,Cadiz,25,D(C),0(1),2,0,0,0,0,,50,,0,6.08
Matt Doherty,Atletico,31,D(LR) M(LR),0(1),12,0,0,0,0,,60,,0,6.08
Fabrizio Angileri,Getafe,29,D(L) M(L),7(3),544,0,0,2,1,0.3,55.4,1.6,0,6.07
Jordan Amavi,Getafe,29,D(L) M(L),1(3),192,0,0,0,1,,50,2.0,0,6.07
Loren Morón,Real Betis,29,FW,0(2),13,0,0,1,0,,75,,0,6.06
Mamady Diarra,Cadiz,22,FORWARD,1(1),66,0,0,0,0,1.5,88.9,,0,6.06
Roberto Arroyo,Real Valladolid,19,FORWARD,0(1),14,0,0,0,0,,-,,0,6.06
Pablo Torre,Barcelona,19,MIDFIELDER,0(2),27,0,0,0,0,,86.7,,0,6.06
Dani Gómez,Espanyol,24,FW,0(7),71,0,0,1,0,,80,0.1,0,6.05
Luka Koleosho,Espanyol,18,MIDFIELDER,0(2),22,0,0,0,0,,63.6,,0,6.05
Javi Llabrés,Mallorca,20,FORWARD,0(1),16,0,0,0,0,,100,,0,6.05
Fran Delgado,Real Betis,21,DEFENDER,0(1),11,0,0,0,0,,100,,0,6.04
Fran Pérez,Valencia,20,MIDFIELDER,0(6),87,0,0,1,0,0.2,89.8,,0,6.04
Ángel Alarcón,Barcelona,18,MIDFIELDER,0(3),22,0,0,0,0,0.3,100,,0,6.04
Mario Suárez,Rayo Vallecano,36,D(C) M(C),0(1),5,0,0,0,0,,66.7,,0,6.03
Juanjo Narváez,Real Valladolid,28,FORWARD,1(4),147,0,0,0,0,0.6,73.5,0.6,0,6.03
Jon Karrikaburu,Real Sociedad,20,FORWARD,0(6),87,0,0,1,0,0.8,64.7,0.7,0,6.02
Maximiliano Gómez,Valencia,26,FW,0(3),106,0,0,0,0,1.0,64.3,0.7,0,6.02
Pablo Muñoz,Rayo Vallecano,19,MIDFIELDER,0(2),11,0,0,0,0,,100,,0,6.02
Unai Vencedor,Athletic Bilbao,22,DMC,0(7),142,0,0,2,0,0.4,90.5,0.1,0,6.02
Mariano Díaz,Real Madrid,29,FW,0(6),51,0,0,2,0,0.5,80,0.2,0,6.01
Houboulang Mendes,Almeria,24,D(CR),9(3),742,0,1,1,0,0.1,72,0.1,0,6.01
Ludwig Augustinsson,Mallorca,28,D(L) M(L),1(1),79,0,0,0,0,,70.8,1.0,0,6.01
Álex Revuelta,Getafe,22,DEFENDER,0(1),1,0,0,0,0,,-,,0,6.0
Ángel Alarcón,Barcelona,18,MIDFIELDER,0(1),1,0,0,0,0,,33.3,,0,6.0
Arnau Tenas,Barcelona,21,GOALKEEPER,1,1,0,0,1,0,,-,,0,6.0
Chadi Riad,Barcelona,19,DEFENDER,0(1),1,0,0,0,0,,100,,0,6.0
Diego Méndez,Rayo Vallecano,19,MIDFIELDER,0(1),1,0,0,0,0,,50,1.0,0,6.0
Esteban Saveljich,Rayo Vallecano,31,D(C),0(1),1,0,0,0,0,,-,,0,6.0
Pedro Ortiz,Sevilla,22,MIDFIELDER,0(1),1,0,0,0,0,,100,,0,6.0
Williot Swedberg,Celta Vigo,19,MIDFIELDER,0(2),34,0,0,1,0,,91.7,,0,6.0
Domingos Quina,Elche,23,M(CL),2(8),269,0,0,1,1,0.6,85.3,,0,5.99
Diego López,Valencia,20,FORWARD,0(1),9,0,0,0,0,,100,,0,5.99
Marko Milovanovic,Almeria,19,FORWARD,0(2),14,0,0,1,0,0.5,44.4,2.5,0,5.99
Awer Mabil,Cadiz,27,AM(LR) FW,1(4),163,0,0,0,0,0.6,72.7,0.2,0,5.99
Kenedy,Real Valladolid,27,D(L) M(LR),1(3),81,0,0,1,0,0.3,68.2,0.3,0,5.99
Jaime Mata,Getafe,34,FW,1(9),43,0,0,3,0,0.1,72.2,0.2,0,5.98
Fernando Niño,Villarreal,22,FW,0(3),19,0,0,0,0,0.3,100,,0,5.96
Alejandro Alfaro,Elche,20,MIDFIELDER,0(1),14,0,0,0,0,,100,,0,5.95
Selim Amallah,Real Valladolid,26,AM(CL) FW,0(2),55,0,0,0,1,0.5,73.9,1.0,0,5.95
Youba Diarra,Cadiz,24,MIDFIELDER,0(3),39,0,0,1,0,,84.2,,0,5.94
Javier Pastore,Elche,33,AM(CLR),0(1),4,0,0,0,0,,85.7,,0,5.94
Mario Hernández,Rayo Vallecano,24,DEFENDER,0(2),38,0,0,0,0,1.0,77.8,,0,5.94
Iván Romero,Sevilla,21,FORWARD,0(1),10,0,0,1,0,,33.3,1.0,0,5.92
Sergio Reguilón,Atletico,26,D(L) M(L),0(4),85,0,0,0,1,,85.1,0.8,0,5.92
Roger Martínez,Espanyol,18,MIDFIELDER,0(1),6,0,0,0,0,1.0,100,,0,5.91
Pape Cheikh,Elche,25,DMC,1(1),33,0,0,0,1,,61.5,,0,5.89
Carlos Álvarez,Sevilla,19,MIDFIELDER,0(1),9,0,0,1,0,,100,,0,5.89
Tomás Alarcón,Cadiz,24,DMC,2(2),222,0,0,0,1,0.5,84.3,0.8,0,5.82
Álvaro Giménez,Cadiz,31,FW,0(1),16,0,0,0,0,,100,,0,5.82
John Donald,Elche,22,D(C),2(1),151,0,0,0,1,,87.5,0.7,0,5.71
Diego López,Rayo Vallecano,41,GK,1,90,0,0,0,0,,70.8,,0,4.63
